Entry	Base_Accession	Protein_Family	Gene_Name
A0A8Q3WLA1	A0A8Q3WLA1	Not available	FANCL
A0A8Q3WLA2	A0A8Q3WLA2	Not available	FANCL
A0A8Q3WLA4	A0A8Q3WLA4	Not available	FANCL
A0A8Q3WLA5	A0A8Q3WLA5	Not available	FANCL
A0A8Q3WLA7	A0A8Q3WLA7	Not available	FANCL
A0A8Q3WLB1	A0A8Q3WLB1	Not available	BLNK
A0A8Q3WLB5	A0A8Q3WLB5	Not available	FANCL
A0A8Q3WLB6	A0A8Q3WLB6	Not available	ACP5
A0A8Q3WLB8	A0A8Q3WLB8	Not available	FANCL
A0A8Q3WLB9	A0A8Q3WLB9	Not available	G6PD
A0A8Q3WLC2	A0A8Q3WLC2	Not available	FANCL
A0A8Q3WLC3	A0A8Q3WLC3	Not available	BLNK
A0A8Q3WLC4	A0A8Q3WLC4	Not available	BLNK
A0A8Q3WLC7	A0A8Q3WLC7	Not available	BLNK
A0A8Q3WLC9	A0A8Q3WLC9	Not available	GOLGB1
A0A8Q3WLD3	A0A8Q3WLD3	Not available	Not available
A0A8Q3WLD6	A0A8Q3WLD6	Not available	FANCL
A0A8Q3WLD7	A0A8Q3WLD7	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family	KIF1B
A0A8Q3WLD9	A0A8Q3WLD9	Not available	ZBTB18
A0A8Q3WLE0	A0A8Q3WLE0	Not available	ENAH
A0A8Q3WLE2	A0A8Q3WLE2	Not available	FANCL
A0A8Q3WLE5	A0A8Q3WLE5	Not available	DKC1
A0A8Q3WLF1	A0A8Q3WLF1	Not available	FANCL
A0A8Q3WLF4	A0A8Q3WLF4	Not available	HLA-DRB1
A0A8Q3WLF5	A0A8Q3WLF5	Not available	FANCL
A0A8Q3WLF6	A0A8Q3WLF6	Not available	ANKRD30A
A0A8Q3WLF7	A0A8Q3WLF7	Not available	CFH
A0A8Q3WLG0	A0A8Q3WLG0	Not available	FANCM
A0A8Q3WLG1	A0A8Q3WLG1	Not available	GOLGB1
A0A8Q3WLG9	A0A8Q3WLG9	Not available	SLC4A1AP
A0A8Q3WLH6	A0A8Q3WLH6	Not available	DICER1
A0A8Q3WLH7	A0A8Q3WLH7	Not available	FANCL
A0A8Q3WLH9	A0A8Q3WLH9	Not available	FANCG
A0A8Q3WLI1	A0A8Q3WLI1	Not available	CARMIL2
A0A8Q3WLI3	A0A8Q3WLI3	Not available	EPG5
A0A8Q3WLI8	A0A8Q3WLI8	Not available	PDHA1
A0A8Q3WLJ1	A0A8Q3WLJ1	Not available	MRPS25
A0A8Q3WLK0	A0A8Q3WLK0	Not available	SORBS2
A0A8Q3WLK3	A0A8Q3WLK3	Not available	IL17RC
A0A8Q3WLK4	A0A8Q3WLK4	Not available	IL17RC
A0A8Q3WLK5	A0A8Q3WLK5	Not available	PDHA1
A0A8Q3WLK6	A0A8Q3WLK6	Not available	FAS
A0A8Q3WLK8	A0A8Q3WLK8	Not available	TTC3
A0A8Q3WLL2	A0A8Q3WLL2	Not available	XNDC1N-ZNF705EP-ALG1L9P
A0A8Q3WLL3	A0A8Q3WLL3	Not available	IRF4
A0A8Q3WLL4	A0A8Q3WLL4	Not available	FAS
A0A8Q3WLL6	A0A8Q3WLL6	Not available	MRPS27
A0A8Q3WLL9	A0A8Q3WLL9	Not available	TTC3
A0A8Q3WLM5	A0A8Q3WLM5	ERF4 family	GOLGA7
A0A8Q3WLN0	A0A8Q3WLN0	Not available	CASP10
A0A8Q3WLN5	A0A8Q3WLN5	ERF4 family	GOLGA7
A0A8Q3WLN7	A0A8Q3WLN7	Not available	XNDC1N-ZNF705EP-ALG1L9P
A0A8Q3WLN9	A0A8Q3WLN9	Not available	BLNK
A0A8Q3WLP4	A0A8Q3WLP4	Not available	IL17RC
A0A8Q3WLP8	A0A8Q3WLP8	Not available	FANCA
A0A8Q3WLQ3	A0A8Q3WLQ3	Not available	IRF4
A0A8Q3WLQ9	A0A8Q3WLQ9	Mitochondrial carrier (TC 2.A.29) family	MTCH1
A0A8Q3WLR2	A0A8Q3WLR2	Not available	BTK
A0A8Q3WLR5	A0A8Q3WLR5	Not available	FANCB
A0A8Q3WLR7	A0A8Q3WLR7	Not available	GOLGB1
A0A8Q3WLS3	A0A8Q3WLS3	Not available	C3
A0A8Q3WLT6	A0A8Q3WLT6	Not available	C1QB
A0A8Q3WLU7	A0A8Q3WLU7	Not available	SORBS2
A0A8Q3WLU8	A0A8Q3WLU8	Not available	FANCL
A0A8Q3WLV7	A0A8Q3WLV7	Not available	AP3B1
A0A8Q3WLW1	A0A8Q3WLW1	Not available	FANCL
A0A8Q3WLW2	A0A8Q3WLW2	Not available	MRPS27
A0A8Q3WLW5	A0A8Q3WLW5	Not available	CDCA7
A0A8Q3WLW8	A0A8Q3WLW8	Pseudouridine synthase TruB family	DKC1
A0A8Q3WLX3	A0A8Q3WLX3	Not available	IL17REL
A0A8Q3WLX6	A0A8Q3WLX6	Krueppel C2H2-type zinc-finger protein family, ZBTB18 subfamily	ZBTB18
A0A8Q3WLY5	A0A8Q3WLY5	Not available	NUP54
A0A8Q3WLZ2	A0A8Q3WLZ2	Not available	AIM2
A0A8Q3WLZ4	A0A8Q3WLZ4	Not available	FANCM
A0A8Q3WM19	A0A8Q3WM19	Not available	ACD
A0A8Q3WM25	A0A8Q3WM25	Not available	C1QB
A0A8Q3WM32	A0A8Q3WM32	Not available	PDE4DIP
A0A8Q3WM43	A0A8Q3WM43	Not available	FANCC
A0A8Q3WM48	A0A8Q3WM48	Not available	AFTPH
A0A8Q3WM51	A0A8Q3WM51	Not available	FANCA
A0A8Q3WM52	A0A8Q3WM52	Not available	CDCA7
A0A8Q3WM65	A0A8Q3WM65	Not available	CFH
A0A8Q3WM71	A0A8Q3WM71	Not available	CFH
A0A8Q3WM82	A0A8Q3WM82	Not available	FANCL
A0A8Q3WM87	A0A8Q3WM87	Not available	FANCL
A0A8Q3WM99	A0A8Q3WM99	Not available	FANCL
A0A8Q3WMA3	A0A8Q3WMA3	Not available	CYBB
A0A8Q3WMB2	A0A8Q3WMB2	Not available	FANCL
A0A8Q3WMB7	A0A8Q3WMB7	Not available	FANCL
A0A8Q3WMB8	A0A8Q3WMB8	Not available	FANCE
A0A8Q3WMC3	A0A8Q3WMC3	Not available	GATA2
A0A8Q3WMC5	A0A8Q3WMC5	ODF2 family	ODF2L
A0A8Q3WMD3	A0A8Q3WMD3	Not available	FANCL
A0A8Q3WME3	A0A8Q3WME3	Not available	NRIP3
A0A8Q3WMF1	A0A8Q3WMF1	Not available	FANCL
A0A8Q3WMF6	A0A8Q3WMF6	Not available	TTC3
A0A8Q3WMF8	A0A8Q3WMF8	Not available	FANCL
A0A8Q3WMG4	A0A8Q3WMG4	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family	KIF1B
A0A8Q3WMH8	A0A8Q3WMH8	Not available	SYDE2
A0A8Q3WMI8	A0A8Q3WMI8	Not available	KIAA1217
A0A8Q3WMJ4	A0A8Q3WMJ4	Not available	FANCM
A0A8Q3WMK3	A0A8Q3WMK3	Not available	FANCM
A0A8Q3WMK6	A0A8Q3WMK6	Not available	FANCG
A0A8Q3WML5	A0A8Q3WML5	Not available	IL12B
A0A8Q3WMM9	A0A8Q3WMM9	Not available	Not available
A0A8Q3WMN6	A0A8Q3WMN6	Not available	IL1RN
A0A8S0M5T0	A0A8S0M5T0	Not available	ARHGAP31
A0A8S0MHV1	A0A8S0MHV1	Not available	ARHGAP31
A0A8S4MU34	A0A8S4MU34	Not available	IGHV4-59
A0A8S4MU48	A0A8S4MU48	Not available	IGHV3-43D
A0A8S4Q949	A0A8S4Q949	Not available	TRBV20-1
A0A8S4QAS5	A0A8S4QAS5	Not available	TRBV2
A0A8S4QAS9	A0A8S4QAS9	Not available	TRBV15
A0A8S4QBK4	A0A8S4QBK4	Not available	IGHV4-30-4
A0A8S4QBL5	A0A8S4QBL5	Not available	TRBV5-6
A0A8S4QBM8	A0A8S4QBM8	Not available	TRBV6-9
A0A8S4QCA4	A0A8S4QCA4	Not available	TRBV12-4
A0A8S4QCZ9	A0A8S4QCZ9	Not available	TRBV6-6
A0A8S4QD14	A0A8S4QD14	Not available	TRBV7-7
A0A8S4QEX8	A0A8S4QEX8	Not available	TRBV12-5
A0A8S4QGC6	A0A8S4QGC6	Not available	TRBV12-2
A0A8S4QGD6	A0A8S4QGD6	Not available	TRBV19
A0A8T9EC39	A0A8T9EC39	Not available	Not available
A0A8U0WPF8	A0A8U0WPF8	Not available	BLNK
A0A8V8N5G5	A0A8V8N5G5	Not available	NYAP2
A0A8V8N5K5	A0A8V8N5K5	TTC39 family	TTC39B
A0A8V8N8P9	A0A8V8N8P9	Not available	INAVA
A0A8V8NBT1	A0A8V8NBT1	Not available	NUP160
A0A8V8NC12	A0A8V8NC12	Not available	FBXL13
A0A8V8NCV2	A0A8V8NCV2	TTC39 family	TTC39B
A0A8V8NKH1	A0A8V8NKH1	Not available	POR
A0A8V8NLF0	A0A8V8NLF0	Not available	POR
A0A8V8NRY5	A0A8V8NRY5	Not available	POR
A0A8V8NVX2	A0A8V8NVX2	Not available	POR
A0A8V8NVY2	A0A8V8NVY2	Not available	POR
A0A8V8P1G2	A0A8V8P1G2	Not available	POR
A0A8V8P672	A0A8V8P672	Not available	POR
A0A8V8PBF2	A0A8V8PBF2	Not available	POR
A0A8V8PL11	A0A8V8PL11	Not available	SERPINI2
A0A8V8PSJ6	A0A8V8PSJ6	CCDC149 family	CCDC149
A0A8V8PVV8	A0A8V8PVV8	CCDC149 family	CCDC149
A0A8V8QE22	A0A8V8QE22	Not available	TEX9
A0A8V8SAS4	A0A8V8SAS4	Not available	POU2AF2
A0A8V8SD95	A0A8V8SD95	Not available	BTBD8
A0A8V8THZ2	A0A8V8THZ2	Not available	AMMECR1L
A0A8V8TII8	A0A8V8TII8	Not available	Not available
A0A8V8TKG3	A0A8V8TKG3	Not available	HAX1
A0A8V8TKG6	A0A8V8TKG6	Not available	HAX1
A0A8V8TKH0	A0A8V8TKH0	GARIN family	GARIN2
A0A8V8TKH7	A0A8V8TKH7	Not available	HAX1
A0A8V8TKH9	A0A8V8TKH9	Not available	ITGAV
A0A8V8TKI4	A0A8V8TKI4	Not available	ITCH
A0A8V8TKI6	A0A8V8TKI6	Not available	HAX1
A0A8V8TKI8	A0A8V8TKI8	Not available	HAX1
A0A8V8TKJ2	A0A8V8TKJ2	GARIN family	GARIN2
A0A8V8TKK0	A0A8V8TKK0	Not available	JAK3
A0A8V8TKK6	A0A8V8TKK6	Not available	KIAA0319L
A0A8V8TKK9	A0A8V8TKK9	GAMAD family	DYNLRB1
A0A8V8TKL0	A0A8V8TKL0	Not available	KIAA0319L
A0A8V8TKL4	A0A8V8TKL4	Not available	KIAA0319L
A0A8V8TKL7	A0A8V8TKL7	Not available	KIAA0319L
A0A8V8TKL8	A0A8V8TKL8	Not available	LPIN2
A0A8V8TKL9	A0A8V8TKL9	Not available	KIAA0319L
A0A8V8TKM3	A0A8V8TKM3	Not available	DCLRE1C
A0A8V8TKM4	A0A8V8TKM4	Not available	KIAA0319L
A0A8V8TKM6	A0A8V8TKM6	Not available	DCLRE1C
A0A8V8TKM7	A0A8V8TKM7	Not available	KIAA0319L
A0A8V8TKN8	A0A8V8TKN8	Not available	FAM153A
A0A8V8TKP5	A0A8V8TKP5	Not available	DCLRE1C
A0A8V8TKQ0	A0A8V8TKQ0	Not available	MSN
A0A8V8TKQ1	A0A8V8TKQ1	Not available	LMO7
A0A8V8TKQ4	A0A8V8TKQ4	Type I cytokine receptor family, Type 2 subfamily	IL23R
A0A8V8TKQ6	A0A8V8TKQ6	Not available	FAM153A
A0A8V8TKQ8	A0A8V8TKQ8	Type I cytokine receptor family, Type 2 subfamily	IL23R
A0A8V8TKR0	A0A8V8TKR0	Not available	LRBA
A0A8V8TKR4	A0A8V8TKR4	Not available	EML1
A0A8V8TKS8	A0A8V8TKS8	Not available	LYST
A0A8V8TKT1	A0A8V8TKT1	NPIP family	NPIPB13
A0A8V8TKT6	A0A8V8TKT6	Not available	LYST
A0A8V8TKU4	A0A8V8TKU4	NPIP family	NPIPB13
A0A8V8TKU7	A0A8V8TKU7	Not available	LYST
A0A8V8TKV2	A0A8V8TKV2	Not available	MYO5B
A0A8V8TKV5	A0A8V8TKV5	GARIN family	GARIN2
A0A8V8TKV6	A0A8V8TKV6	Not available	MAD2L2
A0A8V8TKV7	A0A8V8TKV7	Type I cytokine receptor family, Type 2 subfamily	IL23R
A0A8V8TKV9	A0A8V8TKV9	Nibrin family	NBN
A0A8V8TKW4	A0A8V8TKW4	Not available	LYST
A0A8V8TKX2	A0A8V8TKX2	Not available	IFIH1
A0A8V8TKX3	A0A8V8TKX3	Not available	LCK
A0A8V8TKX7	A0A8V8TKX7	Not available	KIAA0319L
A0A8V8TKY0	A0A8V8TKY0	Nibrin family	NBN
A0A8V8TKY4	A0A8V8TKY4	Not available	KIAA0319L
A0A8V8TKY8	A0A8V8TKY8	Not available	KIAA0319L
A0A8V8TKZ0	A0A8V8TKZ0	Not available	OTULIN
A0A8V8TKZ3	A0A8V8TKZ3	Not available	ERICH2
A0A8V8TKZ6	A0A8V8TKZ6	Not available	KIAA0319L
A0A8V8TKZ8	A0A8V8TKZ8	Not available	RAP1GAP2
A0A8V8TKZ9	A0A8V8TKZ9	Not available	LPIN2
A0A8V8TL02	A0A8V8TL02	Not available	TMEM235
A0A8V8TL07	A0A8V8TL07	Not available	DCLRE1C
A0A8V8TL14	A0A8V8TL14	PI3K p85 subunit family	PIK3R1
A0A8V8TL16	A0A8V8TL16	Not available	RAP1GAP2
A0A8V8TL21	A0A8V8TL21	Not available	CCDC144A
A0A8V8TL23	A0A8V8TL23	Not available	FAM153A
A0A8V8TL25	A0A8V8TL25	Not available	NOD2
A0A8V8TL26	A0A8V8TL26	Not available	LRBA
A0A8V8TL29	A0A8V8TL29	Not available	PLCG2
A0A8V8TL31	A0A8V8TL31	PI3K p85 subunit family	PIK3R1
A0A8V8TL34	A0A8V8TL34	Not available	IL21R
A0A8V8TL39	A0A8V8TL39	Paladin family	PALD1
A0A8V8TL42	A0A8V8TL42	Not available	IL23R
A0A8V8TL45	A0A8V8TL45	Eukaryotic RPC34/RPC39 RNA polymerase subunit family	POLR3F
A0A8V8TL49	A0A8V8TL49	Not available	POLR3F
A0A8V8TL52	A0A8V8TL52	Not available	LYST
A0A8V8TL55	A0A8V8TL55	Not available	PLCG2
A0A8V8TL57	A0A8V8TL57	Not available	Not available
A0A8V8TL58	A0A8V8TL58	Not available	LYST
A0A8V8TL61	A0A8V8TL61	NPIP family	NPIPB13
A0A8V8TL64	A0A8V8TL64	Not available	RAD51C
A0A8V8TL68	A0A8V8TL68	Not available	KPNA5
A0A8V8TL70	A0A8V8TL70	Not available	IL23R
A0A8V8TL74	A0A8V8TL74	Eukaryotic RPC34/RPC39 RNA polymerase subunit family	POLR3F
A0A8V8TL76	A0A8V8TL76	Not available	IL23R
A0A8V8TL78	A0A8V8TL78	Not available	LYST
A0A8V8TL83	A0A8V8TL83	Not available	LYST
A0A8V8TL87	A0A8V8TL87	Not available	MAD2L2
A0A8V8TL91	A0A8V8TL91	Nibrin family	NBN
A0A8V8TL95	A0A8V8TL95	Not available	NBN
A0A8V8TL98	A0A8V8TL98	Nibrin family	NBN
A0A8V8TLA3	A0A8V8TLA3	Nibrin family	NBN
A0A8V8TLA6	A0A8V8TLA6	Not available	ERICH2
A0A8V8TLB1	A0A8V8TLB1	Not available	NOS2
A0A8V8TLB2	A0A8V8TLB2	Not available	NFKB1
A0A8V8TLB3	A0A8V8TLB3	Not available	SMARCAL1
A0A8V8TLB4	A0A8V8TLB4	Not available	ERICH2
A0A8V8TLB5	A0A8V8TLB5	Not available	RTEL1
A0A8V8TLB6	A0A8V8TLB6	Not available	SGPL1
A0A8V8TLB8	A0A8V8TLB8	Not available	ERICH2
A0A8V8TLC0	A0A8V8TLC0	Not available	SKIC2
A0A8V8TLC1	A0A8V8TLC1	Not available	NDUFAF6
A0A8V8TLC2	A0A8V8TLC2	Not available	CIMIP2B
A0A8V8TLC5	A0A8V8TLC5	Not available	ARHGEF33
A0A8V8TLC6	A0A8V8TLC6	Not available	SBDS
A0A8V8TLC8	A0A8V8TLC8	Not available	PALB2
A0A8V8TLC9	A0A8V8TLC9	SMARCD family	SMARCD2
A0A8V8TLD2	A0A8V8TLD2	Not available	DYSF
A0A8V8TLD7	A0A8V8TLD7	DOCK family	DOCK10
A0A8V8TLD8	A0A8V8TLD8	Not available	LOC441155
A0A8V8TLE4	A0A8V8TLE4	Sorting nexin family	SNX10
A0A8V8TLE6	A0A8V8TLE6	Not available	PIK3R1
A0A8V8TLE9	A0A8V8TLE9	Not available	SP110
A0A8V8TLF0	A0A8V8TLF0	Not available	ARHGEF33
A0A8V8TLF1	A0A8V8TLF1	Not available	PIK3R1
A0A8V8TLF2	A0A8V8TLF2	Not available	MROH8
A0A8V8TLF4	A0A8V8TLF4	SMARCD family	SMARCD2
A0A8V8TLF7	A0A8V8TLF7	PI3K p85 subunit family	PIK3R1
A0A8V8TLF8	A0A8V8TLF8	Not available	DYSF
A0A8V8TLG2	A0A8V8TLG2	Not available	DOCK10
A0A8V8TLG3	A0A8V8TLG3	Not available	SH3BGR
A0A8V8TLG6	A0A8V8TLG6	Not available	PLCG2
A0A8V8TLG7	A0A8V8TLG7	Sorting nexin family	SNX10
A0A8V8TLH4	A0A8V8TLH4	Not available	SP110
A0A8V8TLH5	A0A8V8TLH5	Not available	PLCG2
A0A8V8TLH7	A0A8V8TLH7	Not available	STK4
A0A8V8TLH8	A0A8V8TLH8	Not available	SH2D1A
A0A8V8TLI6	A0A8V8TLI6	Not available	STAT1
A0A8V8TLJ1	A0A8V8TLJ1	NPIP family	NPIPB2
A0A8V8TLJ3	A0A8V8TLJ3	Not available	POLR3F
A0A8V8TLL3	A0A8V8TLL3	Not available	Not available
A0A8V8TLL5	A0A8V8TLL5	Not available	TNFRSF1A
A0A8V8TLM3	A0A8V8TLM3	POMP/UMP1 family	POMP
A0A8V8TLM8	A0A8V8TLM8	FAM90 family	FAM90A27P
A0A8V8TLN3	A0A8V8TLN3	Not available	TAP1
A0A8V8TLN6	A0A8V8TLN6	Not available	STN1
A0A8V8TLN7	A0A8V8TLN7	Peptidase M24B family	PEPD
A0A8V8TLN9	A0A8V8TLN9	Not available	TLR3
A0A8V8TLP0	A0A8V8TLP0	Not available	MSTO1
A0A8V8TLP3	A0A8V8TLP3	Not available	ITGAV
A0A8V8TLP9	A0A8V8TLP9	Not available	PET100
A0A8V8TLQ1	A0A8V8TLQ1	Not available	RBCK1
A0A8V8TLQ6	A0A8V8TLQ6	Not available	RTEL1
A0A8V8TLQ7	A0A8V8TLQ7	Not available	TAP1
A0A8V8TLQ8	A0A8V8TLQ8	GARIN family	GARIN2
A0A8V8TLR0	A0A8V8TLR0	Not available	SKIC3
A0A8V8TLR2	A0A8V8TLR2	Not available	ITK
A0A8V8TLR3	A0A8V8TLR3	Not available	SKIC2
A0A8V8TLR6	A0A8V8TLR6	Not available	PEPD
A0A8V8TLS2	A0A8V8TLS2	Not available	CCDC32
A0A8V8TLS5	A0A8V8TLS5	Not available	SBDS
A0A8V8TLS6	A0A8V8TLS6	Not available	GRIP1
A0A8V8TLT1	A0A8V8TLT1	Not available	KIAA0319L
A0A8V8TLT6	A0A8V8TLT6	Not available	KIAA0319L
A0A8V8TLU0	A0A8V8TLU0	STXBP/unc-18/SEC1 family	VPS45
A0A8V8TLU1	A0A8V8TLU1	Not available	KIAA0319L
A0A8V8TLU3	A0A8V8TLU3	Not available	SGPL1
A0A8V8TLU4	A0A8V8TLU4	Not available	SORBS2
A0A8V8TLU8	A0A8V8TLU8	Not available	SGPL1
A0A8V8TLU9	A0A8V8TLU9	Not available	TMC6
A0A8V8TLV0	A0A8V8TLV0	Not available	KIAA0319L
A0A8V8TLV3	A0A8V8TLV3	SMARCD family	SMARCD2
A0A8V8TLV4	A0A8V8TLV4	Not available	BCL2L12
A0A8V8TLV5	A0A8V8TLV5	Not available	ZBTB24
A0A8V8TLV6	A0A8V8TLV6	Not available	KIAA0319L
A0A8V8TLV9	A0A8V8TLV9	Not available	BCL2L12
A0A8V8TLW2	A0A8V8TLW2	DOCK family	DOCK10
A0A8V8TLX7	A0A8V8TLX7	LRRFIP family	LRRFIP1
A0A8V8TLY2	A0A8V8TLY2	Not available	MROH8
A0A8V8TLY4	A0A8V8TLY4	GARIN family	GARIN2
A0A8V8TLY5	A0A8V8TLY5	Not available	Not available
A0A8V8TLY9	A0A8V8TLY9	GARIN family	GARIN2
A0A8V8TLZ1	A0A8V8TLZ1	Not available	FAM153A
A0A8V8TLZ3	A0A8V8TLZ3	Not available	HAX1
A0A8V8TLZ5	A0A8V8TLZ5	STXBP/unc-18/SEC1 family	VPS45
A0A8V8TLZ6	A0A8V8TLZ6	Not available	LRBA
A0A8V8TM03	A0A8V8TM03	Krueppel C2H2-type zinc-finger protein family, ZBTB18 subfamily	ZBTB18
A0A8V8TM06	A0A8V8TM06	Not available	OSBPL10
A0A8V8TM09	A0A8V8TM09	Not available	LCK
A0A8V8TM11	A0A8V8TM11	Not available	IL6ST
A0A8V8TM13	A0A8V8TM13	Not available	STK4
A0A8V8TM14	A0A8V8TM14	Not available	KIAA0319L
A0A8V8TM16	A0A8V8TM16	Muscleblind family	MBNL3
A0A8V8TM22	A0A8V8TM22	Type I cytokine receptor family, Type 2 subfamily	IL23R
A0A8V8TM23	A0A8V8TM23	Not available	STN1
A0A8V8TM26	A0A8V8TM26	Not available	ZNF133
A0A8V8TM29	A0A8V8TM29	Not available	KIAA0319L
A0A8V8TM32	A0A8V8TM32	Not available	LYST
A0A8V8TM39	A0A8V8TM39	Not available	KIAA0319L
A0A8V8TM42	A0A8V8TM42	Not available	LPIN2
A0A8V8TM43	A0A8V8TM43	NPIP family	NPIPB13
A0A8V8TM45	A0A8V8TM45	Not available	IL6ST
A0A8V8TM49	A0A8V8TM49	Not available	TPRX1
A0A8V8TM58	A0A8V8TM58	Not available	ZNF133
A0A8V8TM60	A0A8V8TM60	Not available	SMCO2
A0A8V8TM64	A0A8V8TM64	Not available	FAS
A0A8V8TM65	A0A8V8TM65	PET100 family	Not available
A0A8V8TM67	A0A8V8TM67	PET100 family	PET100
A0A8V8TM68	A0A8V8TM68	Not available	FAM153A
A0A8V8TM69	A0A8V8TM69	Not available	LYST
A0A8V8TM71	A0A8V8TM71	TRNA nucleotidyltransferase/poly(A) polymerase family	TRNT1
A0A8V8TM74	A0A8V8TM74	Not available	WRAP53
A0A8V8TM75	A0A8V8TM75	Not available	ANKRD20A1
A0A8V8TM77	A0A8V8TM77	Not available	ZNF474
A0A8V8TM78	A0A8V8TM78	Not available	LRRN4
A0A8V8TM79	A0A8V8TM79	Not available	LRBA
A0A8V8TM81	A0A8V8TM81	Not available	PEPD
A0A8V8TM86	A0A8V8TM86	Not available	PEPD
A0A8V8TM90	A0A8V8TM90	Not available	IL23R
A0A8V8TM95	A0A8V8TM95	Not available	IL23R
A0A8V8TM97	A0A8V8TM97	Not available	FXR1
A0A8V8TM98	A0A8V8TM98	Not available	SKIC3
A0A8V8TMA0	A0A8V8TMA0	Not available	ERICH2
A0A8V8TMA2	A0A8V8TMA2	Not available	CYBC1
A0A8V8TMA3	A0A8V8TMA3	Not available	SKIC3
A0A8V8TMA6	A0A8V8TMA6	Not available	STAT5B
A0A8V8TMB0	A0A8V8TMB0	Not available	PRAMEF26
A0A8V8TMB3	A0A8V8TMB3	Not available	FERMT3
A0A8V8TMB4	A0A8V8TMB4	Not available	LYST
A0A8V8TMB5	A0A8V8TMB5	Not available	ERICH2
A0A8V8TMB7	A0A8V8TMB7	Not available	XRCC2
A0A8V8TMC0	A0A8V8TMC0	Not available	LYST
A0A8V8TMC1	A0A8V8TMC1	NBPF family	NBPF20
A0A8V8TMC5	A0A8V8TMC5	NPIP family	NPIPB13
A0A8V8TMC7	A0A8V8TMC7	Not available	SORBS2
A0A8V8TMC9	A0A8V8TMC9	Not available	PALB2
A0A8V8TMD5	A0A8V8TMD5	Not available	IL23R
A0A8V8TMD6	A0A8V8TMD6	Not available	SORBS2
A0A8V8TMD7	A0A8V8TMD7	Kindlin family	FERMT3
A0A8V8TME1	A0A8V8TME1	Not available	TTC23L
A0A8V8TME2	A0A8V8TME2	Kindlin family	FERMT3
A0A8V8TME4	A0A8V8TME4	Not available	ANKS1A
A0A8V8TME5	A0A8V8TME5	Not available	LYST
A0A8V8TME7	A0A8V8TME7	Not available	CAMK2A
A0A8V8TME8	A0A8V8TME8	Not available	BCL2L12
A0A8V8TME9	A0A8V8TME9	PI3K p85 subunit family	PIK3R1
A0A8V8TMF1	A0A8V8TMF1	Not available	MYSM1
A0A8V8TMF2	A0A8V8TMF2	Type I cytokine receptor family, Type 4 subfamily	IL2RB
A0A8V8TMF3	A0A8V8TMF3	Not available	IKZF1
A0A8V8TMF4	A0A8V8TMF4	Not available	PIK3R1
A0A8V8TMF5	A0A8V8TMF5	Not available	MAD2L2
A0A8V8TMF7	A0A8V8TMF7	Not available	DBR1
A0A8V8TMG0	A0A8V8TMG0	Not available	NBN
A0A8V8TMG1	A0A8V8TMG1	Not available	STIM1
A0A8V8TMG2	A0A8V8TMG2	Not available	PCDH11Y
A0A8V8TMG6	A0A8V8TMG6	Not available	NBN
A0A8V8TMG7	A0A8V8TMG7	STXBP/unc-18/SEC1 family	VPS45
A0A8V8TMG8	A0A8V8TMG8	Krueppel C2H2-type zinc-finger protein family	ZNF44
A0A8V8TMG9	A0A8V8TMG9	Not available	ARHGEF1
A0A8V8TMI2	A0A8V8TMI2	Not available	ERICH2
A0A8V8TMI3	A0A8V8TMI3	Not available	Not available
A0A8V8TMI6	A0A8V8TMI6	Not available	TGFBR1
A0A8V8TMI7	A0A8V8TMI7	Not available	NOS2
A0A8V8TMJ1	A0A8V8TMJ1	Not available	ERICH2
A0A8V8TMJ2	A0A8V8TMJ2	Not available	POLR3F
A0A8V8TMJ7	A0A8V8TMJ7	Not available	POLR3F
A0A8V8TMJ8	A0A8V8TMJ8	Not available	IRF9
A0A8V8TMK0	A0A8V8TMK0	DNA polymerase delta/II small subunit family	POLD2
A0A8V8TMK3	A0A8V8TMK3	Not available	SSUH2
A0A8V8TMK5	A0A8V8TMK5	Not available	IRF9
A0A8V8TMK6	A0A8V8TMK6	Not available	Not available
A0A8V8TMK7	A0A8V8TMK7	Not available	HELLS
A0A8V8TMK8	A0A8V8TMK8	Not available	PALB2
A0A8V8TML0	A0A8V8TML0	LAP (LRR and PDZ) protein family	ERBIN
A0A8V8TML1	A0A8V8TML1	Not available	DOC2B
A0A8V8TML2	A0A8V8TML2	Not available	ZNF341
A0A8V8TML5	A0A8V8TML5	PI3/PI4-kinase family	PIK3CD
A0A8V8TML7	A0A8V8TML7	Not available	TMEM235
A0A8V8TMM1	A0A8V8TMM1	Not available	ERBIN
A0A8V8TMM4	A0A8V8TMM4	TASOR family	TASOR2
A0A8V8TMM7	A0A8V8TMM7	Not available	HAVCR2
A0A8V8TMM8	A0A8V8TMM8	POMP/UMP1 family	POMP
A0A8V8TMM9	A0A8V8TMM9	Not available	WRAP53
A0A8V8TMN0	A0A8V8TMN0	Not available	USP18
A0A8V8TMN1	A0A8V8TMN1	TASOR family	TASOR2
A0A8V8TMN2	A0A8V8TMN2	Not available	PIK3R1
A0A8V8TMN3	A0A8V8TMN3	Not available	CCDC8
A0A8V8TMN6	A0A8V8TMN6	Not available	RANBP2
A0A8V8TMP2	A0A8V8TMP2	Not available	PLCG2
A0A8V8TMP6	A0A8V8TMP6	Not available	IRF9
