Gene ID,Entrez ID,chromosome,start,end,width,strand,transcript_id,bioType,Aliases,p_id,Description
MAPT,4137,chr17,43971748,44105699,6815,+,NM_016835,protein_coding,DDPAC|FLJ31424|FTDP-17|MAPTL|MGC138549|MSTD|MTBT1|MTBT2|PPND|TAU,P15375,microtubule associated protein tau
MAPT-AS1,100128977,chr17,43920722,43972879,840,-,NR_024559,lncRNA,.,.,MAPT antisense RNA 1
MAPT-IT1,100130148,chr17,43973149,43976164,3016,+,NR_024560_1,lncRNA,.,.,MAPT intronic transcript 1
MARC1,64757,chr1,220960039,220987741,2243,+,NM_022746,protein_coding,.,P26581,mitochondrial amidoxime reducing component 1
MARC2,54996,chr1,220921676,220957596,1573,+,NM_017898,protein_coding,.,P30112,mitochondrial amidoxime reducing component 2
MARCH1,55016,chr4,164445450,165304407,5502,-,NM_001166373,protein_coding,DKFZp564M1682|FLJ20668|MARCH-I|RNF171,P29299,membrane associated ring-CH-type finger 1
MARCH10,162333,chr17,60778675,60885742,4298,-,NM_001288779,protein_coding,FLJ35757|MARCH-X|RNF190,P13825,membrane associated ring-CH-type finger 10
MARCH11,441061,chr5,16067474,16179897,1528,-,NM_001102562,protein_coding,MARCH-XI,P17804,membrane associated ring-CH-type finger 11
MARCH2,51257,chr19,8478187,8503899,1651,+,NM_016496,protein_coding,MARCH-II|RNF172,P13628,membrane associated ring-CH-type finger 2
MARCH3,115123,chr5,126203406,126366500,4196,-,NM_178450,protein_coding,FLJ20096|MARCH-III|MGC48332|RNF173,P7701,membrane associated ring-CH-type finger 3
MARCH4,57574,chr2,217122585,217236750,4450,-,NM_020814,protein_coding,MARCH-IV|MGC104908|RNF174,P29286,membrane associated ring-CH-type finger 4
MARCH5,54708,chr10,94050920,94113721,3926,+,NM_017824,protein_coding,FLJ20445|MARCH-V|MITOL|RNF153,P15078,membrane associated ring-CH-type finger 5
MARCH6,10299,chr5,10353751,10440500,9697,+,NM_005885,protein_coding,DOA10|KIAA0597|MARCH-VI|RNF176|TEB4,P3093,membrane associated ring-CH-type finger 6
MARCH7,64844,chr2,160568968,160625094,3840,+,NM_001282806,protein_coding,AXO|AXOT|DKFZp586F1122|MARCH-VII|RNF177,P26930,membrane associated ring-CH-type finger 7
MARCH8,220972,chr10,45950033,46090354,6310,-,NM_145021,protein_coding,MARCH-VIII|MIR|RNF178|c-MIR,P14617,membrane associated ring-CH-type finger 8
MARCH9,92979,chr12,58148881,58154193,2985,+,NM_138396,protein_coding,FLJ36578|MARCH-IX|RNF179,P28978,membrane associated ring-CH-type finger 9
MARCKS,4082,chr6,114178514,114184652,4304,+,NM_002356,protein_coding,80K-L|FLJ14368|FLJ90045|MACS|PKCSL|PRKCSL,P32676,myristoylated alanine rich protein kinase C substrate
MARCKSL1,65108,chr1,32799430,32801840,1630,-,NM_023009,protein_coding,F52|MACMARCKS|MLP|MLP1|MRP,P17088,MARCKS-like 1
MARCO,8685,chr2,119699745,119752236,1835,+,NM_006770,protein_coding,SCARA2,P5918,macrophage receptor with collagenous structure
MARK1,4139,chr1,220701525,220837799,5574,+,NM_018650,protein_coding,KIAA1477|MARK|MGC126512|MGC126513,P13892,microtubule affinity regulating kinase 1
MARK2,2011,chr11,63606400,63678492,5358,+,NM_001039469,protein_coding,EMK-1|EMK1|MGC99619|PAR-1|Par1b,P24454,microtubule affinity regulating kinase 2
MARK2P9,100507674,chr10,94178418,94179363,946,+,NR_038243,misc_RNA,.,.,microtubule affinity regulating kinase 2 pseudogene 9
MARK3,4140,chr14,103851701,103970166,3636,+,NM_001128921,protein_coding,CTAK1|KP78|PAR1A,P4955,microtubule affinity regulating kinase 3
MARK4,57787,chr19,45754516,45808541,5243,+,NM_031417,protein_coding,FLJ90097|KIAA1860|MARKL1|Nbla00650,P8780,microtubule affinity regulating kinase 4
MARS,4141,chr12,57881736,57910438,2915,+,NM_004990,protein_coding,FLJ35667|METRS|MTRNS,P9255,methionyl-tRNA synthetase
MARS2,92935,chr2,198570028,198573114,3087,+,NM_138395,protein_coding,MetRS|mtMetRS,P9943,"methionyl-tRNA synthetase 2, mitochondrial"
MARVELD1,83742,chr10,99473465,99477909,3237,+,NM_031484,protein_coding,FLJ22343|FLJ23440|GB14|MARVD1|MGC4415|MRVLDC1|RP11-548K23.8|bA548K23.8,P6553,MARVEL domain containing 1
MARVELD2,153562,chr5,68710939,68737890,2160,+,NM_001244734,protein_coding,DFNB49|FLJ30532|MARVD2|MRVLDC2|Tric,P33176,MARVEL domain containing 2
MARVELD3,91862,chr16,71660056,71675868,4098,+,NM_001271329,protein_coding,FLJ32280|MARVD3|MRVLDC3,P11032,MARVEL domain containing 3
MAS1,4142,chr6,160327974,160329107,1134,+,NM_002377,protein_coding,MAS|MGC119966,P11222,"MAS1 proto-oncogene, G protein-coupled receptor"
MAS1L,116511,chr6,29454543,29455679,1137,-,NM_052967,protein_coding,MAS-L|MGC119987|MRG|dJ994E9.2,P17915,"MAS1 proto-oncogene like, G protein-coupled receptor"
MASP1,5648,chr3,186933873,187009810,9994,-,NM_001879,protein_coding,CRARF|CRARF1|DKFZp686I01199|FLJ26383|MAP1|MASP|MASP3|MAp44|MGC126283|MGC126284|PRSS5|RaRF,P26318,mannan binding lectin serine peptidase 1
MASP2,10747,chr1,11086580,11107296,2611,-,NM_006610,protein_coding,MAP19|MASP-2|MASP1P1|sMAP,P30047,mannan binding lectin serine peptidase 2
MAST1,22983,chr19,12949259,12985766,4923,+,NM_014975,protein_coding,KIAA0973|SAST|SAST170,P33840,microtubule associated serine/threonine kinase 1
MAST2,23139,chr1,46269285,46501796,5738,+,NM_015112,protein_coding,FLJ39200|KIAA0807|MAST205|MTSSK|RP4-533D7.1,P249,microtubule associated serine/threonine kinase 2
MAST3,23031,chr19,18208603,18262499,5893,+,NM_015016,protein_coding,KIAA0561,P29383,microtubule associated serine/threonine kinase 3
MAST4,375449,chr5,65892176,66465423,11587,+,NM_198828,protein_coding,DKFZp686E18148|DKFZp686N1467|FLJ16540|FLJ33039|KIAA0303,P21156,microtubule associated serine/threonine kinase family member 4
MASTL,84930,chr10,27443753,27475848,3765,+,NM_032844,protein_coding,FLJ14813|RP11-85G18.2|THC2,P9170,microtubule associated serine/threonine kinase like
MAT1A,4143,chr10,82031576,82049434,3404,-,NM_000429,protein_coding,MAT|MATA1|SAMS|SAMS1,P13247,methionine adenosyltransferase 1A
MAT2A,4144,chr2,85766101,85772403,3006,+,NM_005911,protein_coding,MATA2|MATII|SAMS2,P19001,methionine adenosyltransferase 2A
MAT2B,27430,chr5,162930070,162946359,2515,+,NM_182796,protein_coding,MAT-II|MATIIbeta|MGC12237|Nbla02999|SDR23E1|TGR,P17014,methionine adenosyltransferase 2B
MATK,4145,chr19,3777967,3801810,2551,-,NM_139354,protein_coding,CHK|CTK|DKFZp434N1212|HHYLTK|HYL|HYLTK|Lsk|MGC1708|MGC2101,P33160,megakaryocyte-associated tyrosine kinase
MATN1,4146,chr1,31184124,31196432,3830,-,NM_002379,protein_coding,CMP|CRTM,P10208,"matrilin 1, cartilage matrix protein"
MATN1-AS1,100129196,chr1,31191619,31199593,2050,+,NR_034182,lncRNA,.,.,MATN1 antisense RNA 1
MATN2,4147,chr8,98881311,99048946,4186,+,NM_030583,protein_coding,.,P2436,matrilin 2
MATN3,4148,chr2,20191813,20212455,2583,-,NM_002381,protein_coding,DIPOA|EDM5|HOA|OADIP|OS2,P9197,matrilin 3
MATN4,8785,chr20,43922086,43937169,2312,-,NM_030592,protein_coding,FLJ14417|HE6WCR54,P10950,matrilin 4
MATR3,9782,chr5,138609441,138667366,5963,+,NM_001194954,protein_coding,DKFZp686K0542|DKFZp686K23100|KIAA0723|MGC9105|MPD2|VCPDM,P1863,matrin 3
MAU2,23383,chr19,19431630,19469563,4853,+,NM_015329,protein_coding,KIAA0892|MAU2L|MGC75361|SCC4|mau-2,P33406,MAU2 sister chromatid cohesion factor
MAVS,57506,chr20,3827446,3856770,11771,+,NR_037921,protein_coding,CARDIF|DKFZp547C224|DKFZp666M015|FLJ27482|FLJ35386|FLJ38051|FLJ41962|IPS-1|IPS1|KIAA1271|MGC3260|VISA,.,mitochondrial antiviral signaling protein
MAX,4149,chr14,65472819,65569413,3073,-,NM_001271069,protein_coding,MGC10775|MGC11225|MGC18164|MGC34679|MGC36767|bHLHd4|bHLHd5|bHLHd6|bHLHd7|bHLHd8|orf1,P22106,MYC associated factor X
MAZ,4150,chr16,29817417,29822504,2948,+,NM_001276275,protein_coding,PUR1|Pur-1|SAF-1|SAF-2|SAF-3|ZF87|ZNF801|Zif87,P28804,MYC associated zinc finger protein
MB,4151,chr22,36002811,36019401,1317,-,NM_203378,protein_coding,MGC13548|PVALB,P2113,myoglobin
MB21D1,115004,chr6,74134856,74162043,1802,-,NM_138441,protein_coding,.,P34600,Mab-21 domain containing 1
MB21D2,151963,chr3,192514605,192635950,3367,-,NM_178496,protein_coding,.,P21435,Mab-21 domain containing 2
MBD1,4152,chr18,47793252,47808144,4796,-,NM_001204141,protein_coding,CXXC3|PCM1|RFT,P34523,methyl-CpG binding domain protein 1
MBD2,8932,chr18,51677971,51751158,5611,-,NM_003927,protein_coding,DKFZp586O0821|DMTase|NY-CO-41,P13264,methyl-CpG binding domain protein 2
MBD3,53615,chr19,1576670,1592760,2643,-,NM_001281453,protein_coding,.,P34115,methyl-CpG binding domain protein 3
MBD3L1,85509,chr19,8953269,8954016,748,+,NM_145208,protein_coding,MBD3L|MGC138263|MGC138269,P14655,methyl-CpG binding domain protein 3 like 1
MBD3L2,125997,chr19,7049351,7051746,774,+,NM_144614,protein_coding,.,P5626,methyl-CpG binding domain protein 3 like 2
MBD3L3,653657,chr19,7056216,7058645,773,-,NM_001164425,protein_coding,.,P24353,methyl-CpG binding domain protein 3 like 3
MBD3L4,653656,chr19,7037755,7040184,773,-,NM_001164419,protein_coding,.,P31507,methyl-CpG binding domain protein 3 like 4
MBD3L5,284428,chr19,7030594,7033022,773,+,NM_001136507,protein_coding,.,P22488,methyl-CpG binding domain protein 3 like 5
MBD4,8930,chr3,129149787,129159022,4119,-,NM_003925,protein_coding,MED1,P20424,"methyl-CpG binding domain 4, DNA glycosylase"
MBD5,55777,chr2,148778580,149271044,6016,+,NM_018328,protein_coding,FLJ11113|FLJ30517|KIAA1461|MRD1,P16568,methyl-CpG binding domain protein 5
MBD6,114785,chr12,57916659,57923931,4150,+,NM_052897,protein_coding,KIAA1887,P32884,methyl-CpG binding domain protein 6
MBIP,51562,chr14,36767764,36789882,1645,-,NM_001144891,protein_coding,.,P25492,MAP3K12 binding inhibitory protein 1
MBL1P,8512,chr10,81679934,81682875,1424,+,NR_002724,misc_RNA,COLEC3P|MBL1P1,.,"mannose-binding lectin (protein A) 1, pseudogene"
MBL2,4153,chr10,54525140,54531460,3569,-,NM_000242,protein_coding,COLEC1|HSMBPC|MBL|MBP|MBP1|MGC116832|MGC116833,P23578,mannose binding lectin 2
MBLAC1,255374,chr7,99724320,99726121,1499,+,NM_203397,protein_coding,MGC39819,P6432,metallo-beta-lactamase domain containing 1
MBLAC2,153364,chr5,89754020,89770585,4280,-,NM_203406,protein_coding,DKFZp686P15118|MGC46734,P2874,metallo-beta-lactamase domain containing 2
MBNL1,4154,chr3,151985829,152183568,6522,+,NM_021038,protein_coding,DKFZp686P06174|EXP|EXP35|EXP40|EXP42|KIAA0428|MBNL,P33768,muscleblind like splicing regulator 1
MBNL1-AS1,401093,chr3,151980405,151987415,6844,-,NR_027037,lncRNA,.,.,MBNL1 antisense RNA 1
MBNL2,10150,chr13,97874543,98046374,4971,+,NM_001306070,protein_coding,DKFZp781H1296|MBLL|MBLL39|MGC120625|MGC120626|MGC120628|PRO2032,P35047,muscleblind like splicing regulator 2
MBNL3,55796,chrX,131503343,131623996,11620,-,NM_018388,protein_coding,CHCR|FLJ11316|FLJ97142|MBLX|MBLX39|MBXL,P7828,muscleblind like splicing regulator 3
MBOAT1,154141,chr6,20099916,20212695,4319,-,NM_001080480,protein_coding,LPEAT1|MGC44669|OACT1|dJ434O11.1,P35557,membrane bound O-acyltransferase domain containing 1
MBOAT2,129642,chr2,8996701,9143876,3804,-,NM_138799,protein_coding,FLJ14415|FLJ90298|LPCAT4|OACT2,P34196,membrane bound O-acyltransferase domain containing 2
MBOAT4,619373,chr8,29989187,30002200,1663,-,NM_001100916,protein_coding,GOAT|OACT4,P11926,membrane bound O-acyltransferase domain containing 4
MBOAT7,79143,chr19,54677106,54693733,3266,-,NM_024298,protein_coding,BB1|FLJ41296|LENG4|LPIAT|LRC4|MBOA7|OACT7|hMBOA-7,P14205,membrane bound O-acyltransferase domain containing 7
MBP,4155,chr18,74690789,74844774,7168,-,NM_001025101,protein_coding,MGC99675,P15068,myelin basic protein
MBTD1,54799,chr17,49254786,49337427,5382,-,NM_017643,protein_coding,FLJ20055|FLJ42067|MGC126785|SA49P01,P5579,mbt domain containing 1
MBTPS1,8720,chr16,84087366,84150548,4380,-,NM_003791,protein_coding,KIAA0091|MGC138711|MGC138712|PCSK8|S1P|SKI-1,P34140,"membrane bound transcription factor peptidase, site 1"
MBTPS2,51360,chrX,21857656,21903541,4525,+,NM_015884,protein_coding,FLJ32174|IFAP|S2P,P17963,"membrane bound transcription factor peptidase, site 2"
MC1R,4157,chr16,89984287,89987385,3099,+,NM_002386,protein_coding,CMM5|MGC14337|MSH-R|SHEP2,P35327,melanocortin 1 receptor
MC2R,4158,chr18,13882043,13915706,3730,-,NM_001291911,protein_coding,ACTHR|MGC125798,P32976,melanocortin 2 receptor
MC3R,4159,chr20,54823788,54824871,1084,+,NM_019888,protein_coding,BMIQ9|MC3|MC3-R|OB20|OQTL,P7153,melanocortin 3 receptor
MC4R,4160,chr18,58038564,58040001,1438,-,NM_005912,protein_coding,MGC126851|MGC138197,P35153,melanocortin 4 receptor
MC5R,4161,chr18,13825543,13826861,1319,+,NM_005913,protein_coding,MC2,P1339,melanocortin 5 receptor
MCAM,4162,chr11,119179234,119187840,3332,-,NM_006500,protein_coding,CD146|MUC18,P1013,melanoma cell adhesion molecule
MCAT,27349,chr22,43528212,43539403,2565,-,NR_046423,protein_coding,FASN2C|MCT|MGC47838|MT|NET62|fabD,.,malonyl-CoA-acyl carrier protein transacylase
MCC,4163,chr5,112357796,112824527,9266,-,NM_001085377,protein_coding,DKFZp762O1615|FLJ38893|FLJ46755|MCC1,P13493,mutated in colorectal cancers
MCCC1,56922,chr3,182733006,182817375,3398,-,NR_120640,protein_coding,DKFZp686B20267|FLJ25545|MCC-B|MCCA,.,methylcrotonoyl-CoA carboxylase 1 (alpha)
MCCC2,64087,chr5,70883115,70954530,3673,+,NM_022132,protein_coding,MCCB,P32695,methylcrotonoyl-CoA carboxylase 2
MCCD1,401250,chr6,31496739,31498008,709,+,NM_001011700,protein_coding,.,P23766,mitochondrial coiled-coil domain 1
MCEE,84693,chr2,71336806,71357394,870,-,NM_032601,protein_coding,GLOD2,P5854,methylmalonyl-CoA epimerase
MCEMP1,199675,chr19,7741943,7744719,1308,+,NM_174918,protein_coding,.,P3071,mast cell-expressed membrane protein 1
MCF2,4168,chrX,138663930,138790381,4241,-,NM_001171879,protein_coding,ARHGEF21|DBL,P8804,MCF.2 cell line derived transforming sequence
MCF2L,23263,chr13,113623535,113754053,6687,+,NM_001112732,protein_coding,ARHGEF14|DBS|FLJ12122|KIAA0362|OST,P3355,MCF.2 cell line derived transforming sequence like
MCF2L-AS1,100289410,chr13,113621798,113622952,1155,-,NR_034002,lncRNA,.,.,MCF2L antisense RNA 1
MCF2L2,23101,chr3,182895792,183146057,5013,-,NM_015078,protein_coding,ARHGEF22|DKFZp686K0690|FLJ42509|KIAA0861,P2319,MCF.2 cell line derived transforming sequence-like 2
MCFD2,90411,chr2,47129009,47168994,4696,-,NM_001171510,protein_coding,DKFZp686G21263|F5F8D|LMAN1IP|SDNSF,P24404,multiple coagulation factor deficiency 2
MCHR1,2847,chr22,41075182,41078818,2423,+,NM_005297,protein_coding,GPR24|MCH1R|MGC32129|SLC1,P22100,melanin concentrating hormone receptor 1
MCHR2,84539,chr6,100367786,100442114,2432,-,NM_001040179,protein_coding,GPR145|GPRv17|MCH-2R|MCH-R2|MCH2|MCH2R|MCHR-2|SLT,P839,melanin concentrating hormone receptor 2
MCHR2-AS1,728012,chr6,100441914,100524295,548,+,NR_038384,lncRNA,.,.,MCHR2 antisense RNA 1
MCIDAS,345643,chr5,54515425,54523143,2104,-,NM_001190787,protein_coding,.,P19845,multiciliate differentiation and DNA synthesis associated cell cycle protein
MCL1,4170,chr1,150547027,150552214,3626,-,NM_182763,protein_coding,BCL2L3|EAT|MCL1L|MCL1S|MGC104264|MGC1839|Mcl-1|TM,P1496,myeloid cell leukemia 1
MCM10,55388,chr10,13203554,13253104,4688,+,NM_182751,protein_coding,CNA43|DNA43|MGC126776,P34474,minichromosome maintenance 10 replication initiation factor
MCM2,4171,chr3,127317200,127341278,3767,+,NM_004526,protein_coding,BM28|CCNL1|CDCL1|D3S3194|KIAA0030|MGC10606|MITOTIN|cdc19,P8859,minichromosome maintenance complex component 2
MCM3,4172,chr6,52128812,52149679,3208,-,NM_001270472,protein_coding,HCC5|MGC1157|P1-MCM3|P1.h|RLFB,P35868,minichromosome maintenance complex component 3
MCM3AP,8888,chr21,47655039,47705308,6194,-,NM_003906,protein_coding,FLJ44336|FLJ45306|GANP|KIAA0572|MAP80,P13286,minichromosome maintenance complex component 3 associated protein
MCM3AP-AS1,114044,chr21,47649145,47671615,4793,+,NR_110565,antisense_RNA,.,.,MCM3AP antisense RNA 1
MCM4,4173,chr8,48872763,48890719,4799,+,NM_182746,protein_coding,CDC21|CDC54|MGC33310|P1-CDC21|hCdc21,P5809,minichromosome maintenance complex component 4
MCM5,4174,chr22,35796116,35820495,2546,+,NM_006739,protein_coding,CDC46|MGC5315|P1-CDC46,P2450,minichromosome maintenance complex component 5
MCM6,4175,chr2,136597196,136634047,3787,-,NM_005915,protein_coding,MCG40308|Mis5|P105MCM,P5485,minichromosome maintenance complex component 6
MCM7,4176,chr7,99690351,99699563,3578,-,NM_182776,protein_coding,CDC47|MCM2|P1.1-MCM3|P1CDC47|P85MCM|PNAS146,P1237,minichromosome maintenance complex component 7
MCM8,84515,chr20,5931298,5975852,4014,+,NM_032485,protein_coding,C20orf154|MGC119522|MGC119523|MGC12866|MGC4816|REC|dJ967N21.5,P17724,minichromosome maintenance 8 homologous recombination repair factor
MCM8-AS1,101929225,chr20,5971441,5986467,1131,-,NR_110101,lncRNA,.,.,MCM8 antisense RNA 1
MCM9,254394,chr6,119134612,119256327,6267,-,NM_017696,protein_coding,C6orf61|FLJ13942|FLJ20170|FLJ56845|MCMDC1|MGC35304|dJ329L24.1|dJ329L24.3,P24233,minichromosome maintenance 9 homologous recombination repair factor
MCMBP,79892,chr10,121588916,121633140,4740,-,NM_001256378,protein_coding,.,P13941,minichromosome maintenance complex binding protein
MCMDC2,157777,chr8,67782984,67834283,5144,+,NM_173518,protein_coding,.,P10761,minichromosome maintenance domain containing 2
MCOLN1,57192,chr19,7587496,7598895,2098,+,NM_020533,protein_coding,ML4|MLIV|MST080|TRP-ML1|TRPM-L1|TRPML1,P20010,mucolipin 1
MCOLN2,255231,chr1,85391266,85462805,3053,-,NM_153259,protein_coding,FLJ36691|TRP-ML2|TRPML2,P5529,mucolipin 2
MCOLN3,55283,chr1,85483765,85514223,2850,-,NM_001253693,protein_coding,FLJ11006|FLJ36629|MGC71509|TRP-ML3|TRPML3,P24948,mucolipin 3
MCPH1,79648,chr8,6264113,6501140,3154,+,NM_024596,protein_coding,BRIT1|FLJ12847|MCT,P18502,microcephalin 1
MCPH1-AS1,100507530,chr8,6473124,6565730,4132,-,NR_125386,lncRNA,.,.,MCPH1 antisense RNA 1
MCRS1,10445,chr12,49952077,49961928,2422,-,NM_001278341,protein_coding,ICP22BP|INO80Q|MCRS2|MSP58|P78,P25225,microspherule protein 1
MCTP1,79772,chr5,94041242,94620279,5400,-,NM_024717,protein_coding,FLJ22344,P13925,multiple C2 and transmembrane domain containing 1
MCTP2,55784,chr15,94841430,95027181,8833,+,NM_001159643,protein_coding,FLJ11175|FLJ33303|MGC111402,P5066,"multiple C2 domains, transmembrane 2"
MCTS1,28985,chrX,119737744,119755016,9962,+,NM_014060,protein_coding,FLJ39637|MCT-1|MCT1,P31212,malignant T-cell amplified sequence 1
MCTS2P,100101490,chr20,30135185,30136019,835,+,NR_003677,pseudogene,.,.,"malignant T-cell amplified sequence 2, pseudogene"
MCU,90550,chr10,74451889,74647452,3660,+,NM_138357,protein_coding,.,P17001,mitochondrial calcium uniporter
MCUR1,63933,chr6,13786781,13814792,5471,-,NM_001031713,protein_coding,.,P24747,mitochondrial calcium uniporter regulator 1
MDC1,9656,chr6,30667584,30685458,7368,-,NM_014641,protein_coding,DKFZp781A0122|KIAA0170|MGC166888|NFBD1,P10433,mediator of DNA damage checkpoint 1
MDFI,4188,chr6,41604915,41621982,1950,+,NM_001300804,protein_coding,I-MF|I-mfa,P15931,MyoD family inhibitor
MDFIC,29969,chr7,114562209,114659970,5519,+,NM_001166346,protein_coding,HIC,P681,MyoD family inhibitor domain containing
MDGA1,266727,chr6,37600284,37665766,8907,-,NM_153487,protein_coding,DKFZp686K0262|DKFZp686L0262|FLJ45018|GPIM|MAMDC3,P19738,MAM domain containing glycosylphosphatidylinositol anchor 1
MDGA2,161357,chr14,47308826,48144157,8649,-,NM_182830,protein_coding,MAMDC1|c14_5286,P4708,MAM domain containing glycosylphosphatidylinositol anchor 2
MDH1,4190,chr2,63815743,63834330,1883,+,NM_005917,protein_coding,MDH-s|MDHA|MGC:1375|MOR2,P9031,malate dehydrogenase 1
MDH1B,130752,chr2,207602489,207630273,2550,-,NM_001039845,protein_coding,FLJ25341|RP11-95H11,P563,malate dehydrogenase 1B
MDH2,4191,chr7,75677337,75696827,2730,+,NR_104165,protein_coding,M-MDH|MDH|MGC:3559|MOR1,.,malate dehydrogenase 2
MDK,4192,chr11,46402334,46405387,1676,+,NM_001270550,protein_coding,FLJ27379|MK|NEGF2,P6907,midkine (neurite growth-promoting factor 2)
MDM1,56890,chr12,68688346,68726161,5016,-,NM_001205028,protein_coding,FLJ95264,P16317,Mdm1 nuclear protein
MDM2,4193,chr12,69201952,69239324,7424,+,NM_001145339,protein_coding,HDMX|MGC5370|MGC71221|hdm2,P25212,"MDM2 proto-oncogene, E3 ubiquitin protein ligase"
MDM4,4194,chr1,204485507,204527248,18971,+,NM_001278516,protein_coding,DKFZp781B1423|HDMX|MDMX|MGC132766|MRP1,P12545,"MDM4, p53 regulator"
MDN1,23195,chr6,90352494,90529513,18208,-,NM_014611,protein_coding,DKFZp686H16106|FLJ23395|FLJ25587|FLJ42031|FLJ43191|KIAA0301,P19783,midasin AAA ATPase 1
MDP1,145553,chr14,24683143,24685276,921,-,NM_138476,protein_coding,FN6Pase|MDP-1|MGC5987,P27414,magnesium-dependent phosphatase 1
MDS2,259283,chr1,23953824,23967056,1027,+,NR_027042,protein_coding,.,.,myelodysplastic syndrome 2 translocation associated
ME1,4199,chr6,83920110,84140938,3517,-,NM_002395,protein_coding,HUMNDME|MES,P13029,malic enzyme 1
ME2,4200,chr18,48405432,48476162,4622,+,NM_001168335,protein_coding,ODS1,P36123,malic enzyme 2
ME3,10873,chr11,86152150,86383678,2401,-,NM_006680,protein_coding,FLJ34862,P2442,malic enzyme 3
MEA1,4201,chr6,42979967,42981618,866,-,NM_014623,protein_coding,HYS|MEA,P28076,male-enhanced antigen 1
MEAF6,64769,chr1,37955561,37980420,4672,-,NM_001270876,protein_coding,C1orf149|CDABP0189|Eaf6|FLJ11730|NY-SAR-91,P23347,MYST/Esa1 associated factor 6
MEAT6,105378111,chr6,165206866,165235552,1071,-,NR_131926,lncRNA,.,.,melanoma-associated transcript 6
MECOM,2122,chr3,168801287,169381563,6823,-,NM_001105078,protein_coding,AML1-EVI-1|EVI1|MDS1|MDS1-EVI1|MGC163392|MGC97004|PRDM3,P33766,MDS1 and EVI1 complex locus
MECP2,4204,chrX,153287264,153363188,11457,-,NM_004992,protein_coding,AUTSX3|DKFZp686A24160|MRX16|MRX79|MRXS13|MRXSL|PPMX|RS|RTS|RTT,P11294,methyl-CpG binding protein 2
MECR,51102,chr1,29519169,29557470,2539,-,NM_016011,protein_coding,CGI-63|FASN2B|NRBF1,P14272,mitochondrial trans-2-enoyl-CoA reductase
MED1,5469,chr17,37560538,37607527,8148,-,NM_004774,protein_coding,CRSP1|CRSP200|DRIP205|DRIP230|MGC71488|PBP|PPARBP|PPARGBP|RB18A|TRAP220|TRIP2,P9519,mediator complex subunit 1
MED10,84246,chr5,6372039,6378639,1028,-,NM_032286,protein_coding,MGC5309|NUT2|TRG20,P23552,mediator complex subunit 10
MED11,400569,chr17,4634703,4636905,1531,+,NM_001305000,protein_coding,MGC88387,P20893,mediator complex subunit 11
MED12,9968,chrX,70338406,70362304,6969,+,NM_005120,protein_coding,ARC240|CAGH45|FGS1|HOPA|KIAA0192|OKS|OPA1|TNRC11|TRAP230,P7679,mediator complex subunit 12
MED12L,116931,chr3,150804585,151154465,10440,+,NM_053002,protein_coding,FLJ46288|KIAA1635|NOPAR|TNRC11L|TRALP|TRALPUSH,P22318,mediator complex subunit 12 like
MED13,9969,chr17,60019966,60142643,10465,-,NM_005121,protein_coding,ARC250|DRIP250|HSPC221|KIAA0593|THRAP1|TRAP240,P12009,mediator complex subunit 13
MED13L,23389,chr12,116396381,116714991,9378,-,NM_015335,protein_coding,DKFZp781D0112|FLJ21627|KIAA1025|PROSIT240|THRAP2|TRAP240L,P33856,mediator complex subunit 13 like
MED14,9282,chrX,40508795,40594804,6768,-,NM_004229,protein_coding,CRSP150|CRSP2|CSRP|CXorf4|DRIP150|EXLM1|MGC104513|RGR1|TRAP170,P9136,mediator complex subunit 14
MED14OS,100873985,chrX,40594648,40597953,904,+,NM_001289773,protein_coding,.,P18037,MED14 opposite strand
MED15,51586,chr22,20861829,20941919,3904,+,NM_001293235,protein_coding,ARC105|CAG7A|CTG7A|DKFZp686A2214|DKFZp762B1216|FLJ42282|FLJ42935|PCQAP|TIG-1|TIG1|TNRC7,P1284,mediator complex subunit 15
MED15P9,285103,chr2,130887196,130896986,1835,+,NR_033903,misc_RNA,.,.,mediator complex subunit 15 pseudogene 9
MED16,10025,chr19,867962,893218,2924,-,NM_005481,protein_coding,DRIP92|THRAP5|TRAP95,P29258,mediator complex subunit 16
MED17,9440,chr11,93517405,93546496,3497,+,NM_004268,protein_coding,CRSP6|CRSP77|DRIP80|FLJ10812|TRAP80,P36228,mediator complex subunit 17
MED18,54797,chr1,28655513,28662478,1813,+,NM_001127350,protein_coding,FLJ20045|p28b,P11029,mediator complex subunit 18
MED19,219541,chr11,57471187,57479673,1514,-,NM_153450,protein_coding,DT2P1G7|LCMR1,P30712,mediator complex subunit 19
MED20,9477,chr6,41873091,41888885,2925,-,NM_001305456,protein_coding,DKFZp586D2223|MGC29869|PRO0213|TRFP,P35289,mediator complex subunit 20
MED21,9412,chr12,27175455,27183606,2804,+,NM_001271811,protein_coding,SRB7|SURB7,P20360,mediator complex subunit 21
MED22,6837,chr9,136207751,136215011,1480,-,NM_133640,protein_coding,MED24|MGC48682|SURF5,P19820,mediator complex subunit 22
MED23,9439,chr6,131895106,131949379,4815,-,NM_001270521,protein_coding,ARC130|CRSP130|CRSP133|CRSP3|DKFZp434H0117|DRIP130|SUR-2|SUR2,P15731,mediator complex subunit 23
MED24,9862,chr17,38175350,38210889,3715,-,NM_014815,protein_coding,ARC100|CRSP100|CRSP4|DRIP100|KIAA0130|MGC8748|THRAP4|TRAP100|hTRAP100,P21894,mediator complex subunit 24
