species,tissue_type,cancer_type,cell_type,cell_name,marker,Symbol,Genename
Mouse,Breast,Breast Cancer,Cancer cell,Macrophage,Adgre1,Adgre1,adhesion G protein-coupled receptor E1
Human,Breast,Breast Cancer,Cancer cell,Cancer stem cell,ALCAM,ALCAM,activated leukocyte cell adhesion molecule
Human,Breast,Breast Cancer,Cancer cell,Cancer stem cell,CD166,ALCAM,activated leukocyte cell adhesion molecule
Human,Breast,Breast Cancer,Cancer cell,Tumor‐associated macrophage (TAM),CCL2,CCL2,C-C motif chemokine ligand 2
Human,Breast,Breast Cancer,Cancer cell,Dendritic cell,HLA-DQB1,HLA-DQB1,G protein subunit alpha o1
Human,Breast,Breast Cancer,Cancer cell,Dendritic cell,ITGAX,ITGAX,integrin subunit alpha X
Human,Breast,Breast Cancer,Cancer cell,B cell,CD19,CD19,CD19 molecule
Human,Breast,Breast Cancer,Cancer cell,Regulatory T(Treg) cell,TGFB1,TGFB1,transforming growth factor beta 1
Human,Breast,Breast Cancer,Cancer cell,T follicular helper(Tfh) cell,BCL6,BCL6,BCL6 transcription repressor
Human,Breast,Breast Cancer,Cancer cell,Dendritic cell,HLA-DRA,HLA-DRA,"major histocompatibility complex, class II, DR alpha"
Human,Breast,Breast Cancer,Cancer cell,Dendritic cell,CD1C,CD1C,CD1c molecule
Human,Breast,Breast Cancer,Cancer cell,Tumor‐associated macrophage (TAM),IL10,IL10,interleukin 10
Human,Breast,Breast Cancer,Cancer cell,T cell,CD3D,CD3D,CD3d molecule
Human,Breast,Breast Cancer,Cancer cell,Gamma delta(γδ) T cell,CXCR6,CXCR6,C-X-C motif chemokine receptor 6
Human,Breast,Breast Cancer,Cancer cell,Natural killer cell,KIR3DL2,KIR3DL2,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2"
Human,Breast,Breast Cancer,Cancer cell,Tumor‐associated macrophage (TAM),CD68,CD68,CD68 molecule
Human,Breast,Breast Cancer,Cancer cell,T follicular helper(Tfh) cell,IL21,IL21,interleukin 21
Human,Breast,Breast Cancer,Cancer cell,Natural killer cell,KIR2DS4,KIR2DS4,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4"
Human,Breast,Breast Cancer,Cancer cell,Gamma delta(γδ) T cell,CCR5,CCR5,C-C motif chemokine receptor 5
Human,Breast,Breast Cancer,Cancer cell,B cell,CD79A,CD79A,CD79a molecule
Human,Breast,Breast Cancer,Cancer cell,Dendritic cell,HLA-DPB1,HLA-DPB1,"major histocompatibility complex, class II, DP alpha 1"
Human,Breast,Breast Cancer,Cancer cell,Regulatory T(Treg) cell,STAT5B,STAT5B,signal transducer and activator of transcription 5B
Human,Breast,Breast Cancer,Cancer cell,T cell,CD3E,CD3E,CD3e molecule
Human,Breast,Breast Cancer,Cancer cell,Dendritic cell,HLA-DPA1,HLA-DPA1,"major histocompatibility complex, class II, DP alpha 1"
Human,Breast,Breast Cancer,Cancer cell,T cell,CD2,CD2,CD2 molecule
Human,Breast,Breast Cancer,Cancer cell,Natural killer cell,KIR3DL1,KIR3DL1,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1"
Human,Breast,Breast Cancer,Cancer cell,Natural killer cell,KIR2DL1,KIR2DL1,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2"
Human,Breast,Breast Cancer,Cancer cell,Natural killer cell,KIR3DL3,KIR3DL3,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3"
Human,Breast,Breast Cancer,Cancer cell,Dendritic cell,NRP1,NRP1,neural EGFL like 1
Human,Breast,Breast Cancer,Cancer cell,CD4+ T cell,CD4,CD4,CD4 molecule
Human,Breast,Breast Cancer,Cancer cell,Regulatory T(Treg) cell,Foxp3,,
Human,Breast,Breast Cancer,Cancer cell,Regulatory T(Treg) cell,CCR8,CCR8,C-C motif chemokine receptor 8
Human,Breast,Breast Cancer,Cancer cell,Natural killer cell,KIR2DL4,KIR2DL4,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4"
Human,Breast,Breast Cancer,Cancer cell,Natural killer cell,KIR2DL3,KIR2DL3,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1"
Human,Breast,Breast Cancer,Cancer cell,Stromal cell,ACTA2,ACTA2,"actin alpha 2, smooth muscle"
Human,Breast,Breast Cancer,Cancer cell,Cancer cell,PBCS,,
Human,Breast,Breast Cancer,Cancer cell,Cancer cell,CYP3A4,CYP3A4,cytochrome P450 family 3 subfamily A member 4
Human,Breast,Breast Cancer,Cancer cell,Cancer cell,pKARMA,,
Human,Breast,Breast Cancer,Cancer cell,Cancer cell,CPS-II,,
Human,Breast,Breast Cancer,Cancer cell,Cancer cell,MCCS,,
Human,Breast,Breast Cancer,Cancer cell,Cancer cell,CYP3A5,CYP3A5,cytochrome P450 family 3 subfamily A member 5
Human,Breast,Breast Cancer,Cancer cell,Cancer cell,UKBGS,,
Human,Breast,Breast Cancer,Cancer cell,Cancer cell,CYP3A7,CYP3A7,CYP3A7-CYP3A51P readthrough
Human,Breast,Breast Cancer,Cancer cell,Mesenchymal cell,SNAI1,SNAI1,snail family transcriptional repressor 1
Human,Breast,Breast Cancer,Cancer cell,Mesenchymal cell,TWIST1,TWIST1,twist family bHLH transcription factor 1
Human,Breast,Breast Cancer,Cancer cell,Mesenchymal cell,Vimentin,,
Human,Breast,Breast Cancer,Cancer cell,Epithelial cell,E-Cadherin,,
Human,Breast,Breast Cancer,Cancer cell,Mesenchymal cell,N-Cadherin,,
Human,Breast,Breast Cancer,Cancer cell,Mesenchymal cell,Fibronectin,,
Human,Breast,Breast Cancer,Cancer cell,Regulatory T(Treg) cell,LAYN,LAYN,layilin
Human,Breast,Breast Cancer,Cancer cell,Conventional T(Tconv) cell,IL7R,IL7R,interleukin 7 receptor
Human,Breast,Breast Cancer,Cancer cell,Regulatory T(Treg) cell,MAGEH1,MAGEH1,MAGE family member H1
Human,Breast,Breast Cancer,Cancer cell,Conventional T(Tconv) cell,CD4,CD4,CD4 molecule
Human,Breast,Breast Cancer,Cancer cell,Conventional T(Tconv) cell,CD45RA,,
Human,Breast,Breast Cancer,Cancer cell,Conventional T(Tconv) cell,CD25,IL2RA,interleukin 2 receptor subunit alpha
Human,Breast,Breast Cancer,Cancer cell,Conventional T(Tconv) cell,CD127,IL7R,interleukin 7 receptor
Human,Breast,Breast Cancer,Cancer cell,Regulatory T(Treg) cell,FOXP3,FOXP3,forkhead box P3
Human,Breast,Breast Cancer,Cancer cell,Regulatory T(Treg) cell,IL2RA,IL2RA,interleukin 2 receptor subunit alpha
Human,Breast,Breast Cancer,Cancer cell,Conventional T(Tconv) cell,DUSP1,DUSP1,dual specificity phosphatase 12
Human,Breast,Breast Cancer,Cancer cell,Regulatory T(Treg) cell,CCR8,CCR8,C-C motif chemokine receptor 8
Mouse,Mammary gland,Normal,Normal cell,Stem cell,CD29,Itgb1,integrin beta 1 (fibronectin receptor beta)
Mouse,Mammary gland,Normal,Normal cell,Stem cell,CD24,,
Human,Breast,Breast Cancer,Cancer cell,Luminal progenitor cell,KIT,KIT,"KIT proto-oncogene, receptor tyrosine kinase"
Human,Breast,Breast Cancer,Cancer cell,Luminal progenitor cell,ALDH1A3,ALDH1A3,aldehyde dehydrogenase 1 family member A3
Human,Breast,Breast Cancer,Cancer cell,Basal progenitor cell,WIF1,WIF1,WNT inhibitory factor 1
Human,Breast,Breast Cancer,Cancer cell,Mature luminal cell,ANKRD30A,ANKRD30A,ankyrin repeat domain 30A
Human,Breast,Breast Cancer,Cancer cell,Mature luminal cell,ESR1,ESR1,estrogen receptor 1
Human,Breast,Breast Cancer,Cancer cell,Endothelial cell,PECAM1,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Breast,Breast Cancer,Cancer cell,Mature luminal cell,AGR2,AGR2,"anterior gradient 2, protein disulphide isomerase family member"
Human,Breast,Breast Cancer,Cancer cell,Fibroblast,DCN,DCN,decorin
Human,Breast,Breast Cancer,Cancer cell,Mature luminal cell,FOXA1,FOXA1,forkhead box A1
Human,Breast,Breast Cancer,Cancer cell,Luminal progenitor cell,GABRP,GABRP,gamma-aminobutyric acid type A receptor subunit pi
Human,Breast,Breast Cancer,Cancer cell,Mesenchymal cell,Twist,,
Human,Breast,Breast Cancer,Cancer cell,Mesenchymal cell,vimentin,,
Human,Breast,Breast Cancer,Cancer cell,Epithelial cell,ZO-1,TJP1,tight junction protein 1
Human,Breast,Breast Cancer,Cancer cell,Epithelial cell,E-cadherin,,
Human,Breast,Breast Cancer,Cancer cell,Polyploid giant cancer cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Breast,Breast Cancer,Cancer cell,Polyploid giant cancer cell,CD133,PROM1,prominin 1
Human,Breast,Breast Cancer,Cancer cell,Macrophage,CSF1,CSF1,colony stimulating factor 1
Human,Breast,Breast Cancer,Cancer cell,Mesenchymal cell,proteases,,
Human,Breast,Breast Cancer,Cancer cell,Mesenchymal cell,Vimentin,,
Human,Breast,Breast Cancer,Cancer cell,Mesenchymal cell,TGFBR2,TGFBR2,transforming growth factor beta receptor 2
Human,Breast,Breast Cancer,Cancer cell,Mesenchymal cell,Fibronectin,,
Human,Breast,Breast Cancer,Cancer cell,Mesenchymal cell,collagens,,
Human,Breast,Breast Cancer,Cancer cell,Mesenchymal cell,MSN,MSN,moesin
Human,Breast,Breast Cancer,Cancer cell,B cell,CD20,MS4A1,membrane spanning 4-domains A1
Human,Breast,Breast Cancer,Cancer cell,T cell,CD8A,CD8A,CD8a molecule
Human,Breast,Breast Cancer,Cancer cell,B cell,IGHD,IGHD,immunoglobulin heavy constant delta
Human,Breast,Breast Cancer,Cancer cell,B cell,CD38,CD38,CD38 molecule
Human,Breast,Breast Cancer,Cancer cell,B cell,CD19,CD19,CD19 molecule
Human,Breast,Breast Cancer,Cancer cell,T cell,CD3G,CD3G,TCR gamma alternate reading frame protein
Human,Breast,Breast Cancer,Cancer cell,B cell,IGHM,IGHM,immunoglobulin heavy variable 3-69-1 (pseudogene)
Human,Breast,Breast Cancer,Cancer cell,B cell,CD27,CD27,CD27 molecule
Human,Breast,Breast Cancer,Cancer cell,B cell,CD14,CD14,NADH:ubiquinone oxidoreductase subunit A2
Mouse,Breast,PyMT tumor,Cancer cell,Epithelial cell,Krt18,Krt18,keratin 18
Mouse,Breast,PyMT tumor,Cancer cell,Immune cell,Srgn,Srgn,serglycin
Mouse,Breast,PyMT tumor,Cancer cell,Stromal cell,Tcf4,Tcf4,"transcription factor 7 like 2, T cell specific, HMG box"
Mouse,Breast,PyMT tumor,Cancer cell,Epithelial cell,Chil1,Chil1,chitinase-like 1
Mouse,Breast,PyMT tumor,Cancer cell,Immune cell,Laptm5,Laptm5,lysosomal-associated protein transmembrane 5
Mouse,Breast,PyMT tumor,Cancer cell,Stromal cell,Sparc,Sparc,secreted acidic cysteine rich glycoprotein
Mouse,Breast,PyMT tumor,Cancer cell,Immune cell,Fyb,Fyb,FYN binding protein
Mouse,Breast,PyMT tumor,Cancer cell,Stromal cell,Col5a2,Col5a2,"collagen, type V, alpha 2"
Mouse,Breast,PyMT tumor,Cancer cell,Epithelial cell,Krt8,Krt8,keratin 8
Mouse,Breast,PyMT tumor,Cancer cell,Epithelial cell,Epcam,Epcam,epithelial cell adhesion molecule
Mouse,Breast,PyMT tumor,Cancer cell,Immune cell,Gm8995,,
Mouse,Breast,PyMT tumor,Cancer cell,Epithelial cell,Fxyd3,Fxyd3,FXYD domain-containing ion transport regulator 3
Mouse,Breast,PyMT tumor,Cancer cell,Stromal cell,Col4a1,Col4a1,"collagen, type IV, alpha 1"
Mouse,Breast,PyMT tumor,Cancer cell,Stromal cell,Igfbp7,Igfbp7,insulin-like growth factor binding protein 7
Mouse,Breast,PyMT tumor,Cancer cell,Stromal cell,Col4a2,Col4a2,"collagen, type IV, alpha 2"
Mouse,Breast,PyMT tumor,Cancer cell,Immune cell,Vps37b,Vps37b,vacuolar protein sorting 37B
Mouse,Breast,PyMT tumor,Cancer cell,Immune cell,Rgs1,Rgs1,regulator of G-protein signaling 1
Mouse,Breast,PyMT tumor,Cancer cell,Epithelial cell,Plet1,Plet1,placenta expressed transcript 1
Mouse,Breast,PyMT tumor,Cancer cell,Immune cell,Ptprc,Ptprc,"protein tyrosine phosphatase, receptor type, C"
Mouse,Breast,PyMT tumor,Cancer cell,Stromal cell,Fstl1,Fstl1,follistatin-like 1
Mouse,Breast,PyMT tumor,Cancer cell,Epithelial cell,PyMT,,
Mouse,Breast,PyMT tumor,Cancer cell,Stromal cell,Vim,Vim,vimentin
Mouse,Breast,PyMT tumor,Cancer cell,Immune cell,Stk17b,Stk17b,serine/threonine kinase 17b (apoptosis-inducing)
Mouse,Breast,PyMT tumor,Cancer cell,Epithelial cell,Trps1,Trps1,transcriptional repressor GATA binding 1
Mouse,Breast,PyMT tumor,Cancer cell,Stromal cell,Lamb1,Lamb1,laminin B1
Mouse,Breast,PyMT tumor,Cancer cell,Immune cell,Trbc2,Trbc2,"T cell receptor beta, constant 2"
Mouse,Breast,PyMT tumor,Cancer cell,Epithelial cell,Lcn2,Lcn2,lipocalin 2
Mouse,Breast,PyMT tumor,Cancer cell,Immune cell,P2ry10,P2ry10,"purinergic receptor P2Y, G-protein coupled 10B"
Mouse,Breast,PyMT tumor,Cancer cell,Stromal cell,Adamts4,Adamts4,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4"
Mouse,Breast,PyMT tumor,Cancer cell,Immune cell,Cd52,Cd52,CD52 antigen
Mouse,Breast,PyMT tumor,Cancer cell,Epithelial cell,EGFP,,
Human,Breast,Breast Cancer,Cancer cell,Perivascular cell,THY1,THY1,Thy-1 cell surface antigen
Human,Breast,Breast Cancer,Cancer cell,Perivascular cell,CAV1,CAV1,caveolin 1
Human,Breast,Breast Cancer,Cancer cell,Endothelial cell,CD31,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Breast,Breast Cancer,Cancer cell,Perivascular cell,ACTA2,ACTA2,"actin alpha 2, smooth muscle"
Human,Breast,Breast Cancer,Cancer cell,Perivascular cell,TAGLN,TAGLN,transgelin
Human,Breast,Breast Cancer,Cancer cell,Perivascular cell,PDGFRB,PDGFRB,platelet derived growth factor receptor beta
Human,Breast,Breast Cancer,Cancer cell,Perivascular cell,ITGB1,ITGB1,integrin subunit beta 1
Human,Breast,Breast Cancer,Cancer cell,Perivascular cell,RGS5,RGS5,regulator of G protein signaling 5
Human,Breast,Breast Cancer,Cancer cell,Perivascular cell,MCAM,MCAM,melanoma cell adhesion molecule
Human,Breast,Breast Cancer,Cancer cell,Perivascular cell,S100A4,S100A4,S100 calcium binding protein A4
Human,Breast,Breast Cancer,Cancer cell,Perivascular cell,MYH11,MYH11,myosin heavy chain 11
Mouse,Breast,Breast Cancer,Cancer cell,T cell,CD3,Cd3e,"CD3 antigen, epsilon polypeptide"
Mouse,Breast,Breast Cancer,Cancer cell,T cell,CD4,,
Mouse,Breast,Breast Cancer,Cancer cell,T cell,CD8,,
Mouse,Breast,Breast Cancer,Cancer cell,T cell,CD7,,
Human,Breast,Normal,Normal cell,Mesenchymal cell,fibronectins,,
Human,Breast,Normal,Normal cell,Mesenchymal cell,FN1,FN1,fibronectin 1
Human,Breast,Normal,Normal cell,Epithelial cell,cytokeratins,,
Human,Breast,Normal,Normal cell,Epithelial cell,desmoplakins,,
Human,Breast,Normal,Normal cell,Epithelial cell,CDH1,CDH1,fizzy and cell division cycle 20 related 1
Human,Breast,Normal,Normal cell,Mesenchymal cell,Vimentin,,
Human,Breast,Normal,Normal cell,Epithelial cell,EpCAM,,
Human,Breast,Normal,Normal cell,Mesenchymal cell,N-cadherin,,
Human,Breast,Normal,Normal cell,Mesenchymal cell,FAP,FAP,carboxyl ester lipase
Human,Breast,Normal,Normal cell,Mesenchymal cell,CDH2,CDH2,cadherin 2
Human,Breast,Normal,Normal cell,Epithelial cell,S100A9,S100A9,S100 calcium binding protein A9
Human,Breast,Normal,Normal cell,Luminal progenitor cell,KIT,KIT,"KIT proto-oncogene, receptor tyrosine kinase"
Human,Breast,Normal,Normal cell,Pericyte,MCAM,MCAM,melanoma cell adhesion molecule
Human,Breast,Normal,Normal cell,Tumor‐associated macrophage (TAM),1.Mar,SETMAR,SET domain and mariner transposase fusion gene
Human,Breast,Normal,Normal cell,Macrophage,CD11b,,
Human,Breast,Normal,Normal cell,Fibroblast,POSTN,POSTN,periostin
Human,Breast,Normal,Normal cell,Endothelial cell,CD36,CD36,CD36 molecule
Human,Breast,Normal,Normal cell,Hematopoietic cell,CD45,PTPRC,protein tyrosine phosphatase receptor type C
Human,Breast,Normal,Normal cell,T cell,CD8a,,
Human,Breast,Normal,Normal cell,Myeloid cell,CD11c,,
Human,Breast,Normal,Normal cell,Luminal progenitor cell,TNFRSF11A,TNFRSF11A,TNF receptor superfamily member 11a
Human,Breast,Normal,Normal cell,B cell,CD19,CD19,CD19 molecule
Human,Breast,Normal,Normal cell,Macrophage,CD11c,,
Human,Breast,Normal,Normal cell,Myeloid cell,CD68,CD68,CD68 molecule
Human,Breast,Normal,Normal cell,Basal cell,MYLK,MYLK,myosin light chain kinase
Human,Breast,Normal,Normal cell,Endothelial cell,VWF,VWF,von Willebrand factor
Human,Breast,Normal,Normal cell,Basal cell,ACTA2,ACTA2,"actin alpha 2, smooth muscle"
Human,Breast,Normal,Normal cell,Plasma cell,IgLC7,,
Human,Breast,Normal,Normal cell,Tumor‐associated macrophage (TAM),CD163,CD163,CD163 molecule
Human,Breast,Normal,Normal cell,Mature luminal cell,PGR,PGR,progesterone receptor
Human,Breast,Normal,Normal cell,Natural killer cell,NKG7,NKG7,natural killer cell granule protein 7
Human,Breast,Normal,Normal cell,Mature luminal cell,ESR1,ESR1,estrogen receptor 1
Human,Breast,Normal,Normal cell,Macrophage,CD14,CD14,NADH:ubiquinone oxidoreductase subunit A2
Human,Breast,Normal,Normal cell,T cell,CD4,CD4,CD4 molecule
Human,Breast,Normal,Normal cell,Basal cell,SNAI2,SNAI2,snail family transcriptional repressor 2
Human,Breast,Normal,Normal cell,Natural killer cell,HAVR2C,,
Human,Breast,Normal,Normal cell,Fibroblast,PDGFRB,PDGFRB,platelet derived growth factor receptor beta
Human,Breast,Normal,Normal cell,Endothelial cell,CD34,CD34,Fc fragment of IgG receptor Ib
Human,Breast,Normal,Normal cell,Basal cell,KRT5,KRT5,keratin 5
Human,Breast,Normal,Normal cell,Fibroblast,PDGFRA,PDGFRA,platelet derived growth factor receptor alpha
Human,Breast,Normal,Normal cell,B cell,CD79A,CD79A,CD79a molecule
Human,Breast,Normal,Normal cell,Pericyte,RGS5,RGS5,regulator of G protein signaling 5
Human,Breast,Normal,Normal cell,Myeloid cell,CD14,CD14,NADH:ubiquinone oxidoreductase subunit A2
Human,Breast,Normal,Normal cell,Macrophage,CD68,CD68,CD68 molecule
Human,Breast,Normal,Normal cell,Mature luminal cell,FOXA1,FOXA1,forkhead box A1
Human,Breast,Normal,Normal cell,Myeloid cell,CD11b,,
Human,Breast,Normal,Normal cell,Tumor‐associated macrophage (TAM),MRC1,MRC1,mannose receptor C-type 1
Human,Breast,Normal,Normal cell,Tumor‐associated macrophage (TAM),CX3CR1,CX3CR1,C-X3-C motif chemokine receptor 1
Human,Breast,Normal,Normal cell,Plasma cell,IgHA1,,
Human,Breast,Breast Cancer,Cancer cell,M1 macrophage,SOCS3,SOCS3,suppressor of cytokine signaling 3
Human,Breast,Breast Cancer,Cancer cell,Exhausted T(Tex) cell,GPR25,GPR25,G protein-coupled receptor 25
Human,Breast,Breast Cancer,Cancer cell,Exhausted T(Tex) cell,INPP5F,INPP5F,OCRL inositol polyphosphate-5-phosphatase
Human,Breast,Breast Cancer,Cancer cell,Naive T(Th0) cell,CCR7,CCR7,C-C motif chemokine receptor 7
Human,Breast,Breast Cancer,Cancer cell,M1 macrophage,CXCL10,CXCL10,C-X-C motif chemokine ligand 10
Human,Breast,Breast Cancer,Cancer cell,Naive T(Th0) cell,LEF1,LEF1,lymphoid enhancer binding factor 1
Human,Breast,Breast Cancer,Cancer cell,T helper 1(Th1) cell,ZEB2,ZEB2,zinc finger E-box binding homeobox 2
Human,Breast,Breast Cancer,Cancer cell,M1 macrophage,CXCL9,CXCL9,C-X-C motif chemokine ligand 9
Mouse,Breast,Normal,Normal cell,Fibroblast,EpCAM,,
Mouse,Breast,Normal,Normal cell,Fibroblast,DPP4,,
Mouse,Breast,Normal,Normal cell,Fibroblast,CD24,,
Mouse,Breast,Normal,Normal cell,Fibroblast,CD49f,,
Mouse,Breast,Normal,Normal cell,Fibroblast,CD45,,
Mouse,Breast,Normal,Normal cell,Fibroblast,PDGFRα,,
Mouse,Breast,Normal,Normal cell,Fibroblast,PDGFRβ,,
Mouse,Breast,Normal,Normal cell,Fibroblast,LYVE-1,,
Mouse,Breast,Normal,Normal cell,Fibroblast,CD31,,
Mouse,Breast,Normal,Normal cell,Fibroblast,PDPN,,
Mouse,Breast,Normal,Normal cell,Fibroblast,FAPα,,
Mouse,Breast,Normal,Normal cell,Fibroblast,TER-119,,
Mouse,Breast,Normal,Normal cell,Fibroblast,αSMA,,
Mouse,Breast,Breast Cancer,Cancer cell,Natural killer cell,Nkg7,Nkg7,natural killer cell group 7 sequence
Mouse,Breast,Breast Cancer,Cancer cell,T cell,Cd3g,Cd3g,"CD3 antigen, gamma polypeptide"
Mouse,Breast,Breast Cancer,Cancer cell,Neutrophil,S100a9,S100a9,S100 calcium binding protein A9 (calgranulin B)
Mouse,Breast,Breast Cancer,Cancer cell,B cell,Cd79a,Cd79a,CD79A antigen (immunoglobulin-associated alpha)
Mouse,Breast,Breast Cancer,Cancer cell,Fibroblast,Col3a1,Col3a1,"collagen, type III, alpha 1"
Mouse,Breast,Breast Cancer,Cancer cell,Macrophage,C1qa,C1qa,"complement component 1, q subcomponent, alpha polypeptide"
Mouse,Breast,Breast Cancer,Cancer cell,Epithelial cell,Krt18,Krt18,keratin 18
Mouse,Breast,Breast Cancer,Cancer cell,Monocyte,Plac8,Plac8,placenta-specific 8
Mouse,Breast,Breast Cancer,Cancer cell,Fibroblast,Fap,Fap,fibroblast activation protein
Human,Breast,Breast Cancer,Cancer cell,Cancer stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Breast, Triple-Negative Breast Cancer,Cancer cell,B cell,CD79A,CD79A,CD79a molecule
Human,Breast, Triple-Negative Breast Cancer,Cancer cell,T cell,CD3D,CD3D,CD3d molecule
Human,Breast, Triple-Negative Breast Cancer,Cancer cell,B cell,CD20,MS4A1,membrane spanning 4-domains A1
Human,Breast, Triple-Negative Breast Cancer,Cancer cell,T cell,CD3G,CD3G,TCR gamma alternate reading frame protein
Human,Breast,Breast Cancer,Cancer cell,Stem cell,ALDH1A1,ALDH1A1,aldehyde dehydrogenase 1 family member A1
Human,Breast,Breast Cancer,Cancer cell,Stem cell,ALDH1A2,ALDH1A2,aldehyde dehydrogenase 1 family member A2
Human,Breast,Breast Cancer,Cancer cell,Stem cell,ALDH1A3,ALDH1A3,aldehyde dehydrogenase 1 family member A3
Human,Breast,Breast Cancer,Cancer cell,Stem cell,ALDH1B1,ALDH1B1,aldehyde dehydrogenase 1 family member B1
Human,Breast,Breast Cancer,Cancer cell,Stem cell,ALDH2,ALDH2,aldehyde dehydrogenase 2 family member
Mouse,Breast,Breast Cancer,Cancer cell,M2 macrophage,CD206,Mrc1,"mannose receptor, C type 1"
Human,Breast,Breast Cancer,Cancer cell,Neutrophil,C5aR1,,
Human,Breast,Breast Cancer,Cancer cell,Cancer stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Breast,Breast Cancer,Cancer cell,Cancer stem cell,ALDH,,
Human,Breast,Breast Cancer,Cancer cell,Cancer stem cell,CD24,CD24,CD24 molecule
Human,Mammary gland,Breast Cancer,Cancer cell,Epithelial cell,CK18,,
Human,Mammary gland,Breast Cancer,Cancer cell,Basal epithelial cell,CK14,KRT14,keratin 14
Human,Mammary gland,Breast Cancer,Cancer cell,Mesenchymal cell,Zeb-1,,
Human,Mammary gland,Breast Cancer,Cancer cell,Mesenchymal cell,Snail,,
Human,Mammary gland,Breast Cancer,Cancer cell,Basal epithelial cell,CD104,ITGB4,integrin subunit beta 4
Human,Mammary gland,Breast Cancer,Cancer cell,Progenitor cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Mammary gland,Breast Cancer,Cancer cell,Mesenchymal cell,Vimentin,,
Mouse,Breast,Breast Cancer,Cancer cell,Myeloid cell,Itgam,Itgam,integrin alpha M
Mouse,Breast,Breast Cancer,Cancer cell,M2 macrophage,CD206,Mrc1,"mannose receptor, C type 1"
Mouse,Breast,Breast Cancer,Cancer cell,T cell,Cd3d,Cd3d,"CD3 antigen, delta polypeptide"
Mouse,Breast,Breast Cancer,Cancer cell,Natural killer cell,Klrb1c,Klrb1c,killer cell lectin-like receptor subfamily B member 1C
Mouse,Breast,Breast Cancer,Cancer cell,Epithelial cell,Epcam,Epcam,epithelial cell adhesion molecule
Mouse,Breast,Breast Cancer,Cancer cell,B cell,Cd79a,Cd79a,CD79A antigen (immunoglobulin-associated alpha)
Human,Breast,Triple-negative breast cancer,Cancer cell,Epithelial cell,EpCAM,,
Human,Breast,Triple-negative breast cancer,Cancer cell,Tumor-initiating cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Breast,Triple-negative breast cancer,Cancer cell,Leukocyte,CD45,PTPRC,protein tyrosine phosphatase receptor type C
Mouse,Breast,Breast Cancer,Cancer cell,Cancer cell,E-cadherin,,
Human,Breast,Breast Cancer,Cancer cell,Natural killer cell,KLRB1,KLRB1,killer cell lectin like receptor B1
Human,Breast,Breast Cancer,Cancer cell,Antigen presentation cancer-associated fibroblast,CAV1,CAV1,caveolin 1
Human,Breast,Breast Cancer,Cancer cell,T follicular helper(Tfh) cell,IL21,IL21,interleukin 21
Human,Breast,Breast Cancer,Cancer cell,CD4+ T cell,CD25,IL2RA,interleukin 2 receptor subunit alpha
Human,Breast,Breast Cancer,Cancer cell,Plasmablast,JCHAIN,JCHAIN,joining chain of multimeric IgA and IgM
Human,Breast,Breast Cancer,Cancer cell,Myeloid cell,CD16,FCGR3A,Fc fragment of IgG receptor IIIb
Human,Breast,Breast Cancer,Cancer cell,Myeloid cell,CD1C,CD1C,CD1c molecule
Human,Breast,Breast Cancer,Cancer cell,Myeloid cell,CD86,CD86,CD86 molecule
Human,Breast,Breast Cancer,Cancer cell,T follicular helper(Tfh) cell,PDCD1,PDCD1,programmed cell death 1
Human,Breast,Breast Cancer,Cancer cell,Perivascular-like cell,PDGFRB,PDGFRB,platelet derived growth factor receptor beta
Human,Breast,Breast Cancer,Cancer cell,Natural killer cell,KLRC1,KLRC1,killer cell lectin like receptor C1
Human,Breast,Breast Cancer,Cancer cell,Endothelial cell,VWF,VWF,von Willebrand factor
Human,Breast,Breast Cancer,Cancer cell,Perivascular-like cell,CD146,MCAM,melanoma cell adhesion molecule
Human,Breast,Breast Cancer,Cancer cell,Perivascular-like cell,MCAM,MCAM,melanoma cell adhesion molecule
Human,Breast,Breast Cancer,Cancer cell,Natural killer cell,NKG7,NKG7,natural killer cell granule protein 7
Human,Breast,Breast Cancer,Cancer cell,Myeloid cell,CD68,CD68,CD68 molecule
Human,Breast,Breast Cancer,Cancer cell,Endothelial cell,PECAM1,PECAM1,platelet and endothelial cell adhesion molecule 1
Human,Breast,Breast Cancer,Cancer cell,B cell,MS4A1,MS4A1,membrane spanning 4-domains A1
Human,Breast,Breast Cancer,Cancer cell,Myeloid cell,CD127,IL7R,interleukin 7 receptor
Human,Breast,Breast Cancer,Cancer cell,Myeloid cell,CD49f,ITGA6,integrin subunit alpha 6
